f_property_type,f_neighbourhood,n_days_since_rv,n_days_since_host,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_sound,d_baby,d_beach,d_stove,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type
apartment,Ward 115,312,467,100,96,10,2,1,1,6,97,10,0.58,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1440,40974746,Ward 115,apartment
apartment,Ward 83,NA,435,100,71,0,2,1,2,0,NA,1,NA,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,800,40981240,Ward 83,apartment
apartment,Ward 62,89,2071,50,100,4,2,1,1,1,20,4,0.33,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1200,40982122,Ward 62,apartment
apartment,Ward 64,NA,1635,100,50,2,6,NA,4,0,NA,2,NA,1.5,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1600,40984078,Ward 64,apartment
apartment,Ward 23,367,466,100,83,0,2,1,1,1,NA,3,0.08,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1900,40996022,Ward 23,apartment
apartment,Ward 23,304,466,100,83,0,4,2,2,2,100,3,0.2,2,0,1,1,0,1,1,1,1,0,0,1,1,1,0,2300,40996461,Ward 23,apartment
apartment,Ward 115,347,1619,100,98,1,2,1,1,17,96,3,1.47,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,541,41002034,Ward 115,apartment
apartment,Ward 107,352,427,100,100,0,6,2,3,1,80,1,0.08,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1243,41009136,Ward 107,apartment
apartment,Ward 115,17,862,78,100,0,2,1,1,2,100,1,2,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,887,41014902,Ward 115,apartment
serviced_apartment,Ward 54,321,2223,82,60,9,6,3,3,1,100,15,0.09,3,0,1,1,0,1,1,0,1,0,0,0,0,1,0,10000,41014990,Ward 54,serviced_apartment
apartment,Ward 115,345,2641,100,100,0,4,2,2,3,100,1,0.26,2,0,1,1,0,1,1,1,0,0,1,1,1,1,0,2950,41015226,Ward 115,apartment
apartment,Ward 115,357,2111,93,98,104,2,NA,1,16,86,103,1.34,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1281,41016562,Ward 115,apartment
apartment,Ward 115,300,1638,NA,100,0,2,1,1,3,100,1,0.3,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,2500,41017932,Ward 115,apartment
apartment,Ward 100,325,684,100,100,2,6,2,5,5,70,2,0.46,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1001,41018526,Ward 100,apartment
apartment,Ward 115,352,368,100,100,0,2,NA,1,6,100,1,0.51,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1400,41019735,Ward 115,apartment
apartment,Ward 115,322,367,75,100,0,4,2,2,7,97,1,0.65,2,0,1,1,0,1,1,1,1,0,0,0,1,1,0,2200,41038560,Ward 115,apartment
apartment,Ward 55,NA,373,50,100,1,2,NA,NA,0,NA,1,NA,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,700,41039770,Ward 55,apartment
apartment,Ward 54,NA,977,88,100,6,4,2,2,0,NA,9,NA,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,5285,41039781,Ward 54,apartment
apartment,Ward 115,355,1435,95,94,27,4,2,2,2,100,27,0.17,2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,6325,41039848,Ward 115,apartment
apartment,Ward 57,62,2664,100,95,25,4,2,2,2,60,19,0.95,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,757,41041972,Ward 57,apartment
apartment,Ward 57,324,2664,100,95,25,4,2,2,2,100,19,0.18,2,0,1,1,1,1,1,0,0,0,0,0,0,1,0,800,41042542,Ward 57,apartment
apartment,Ward 57,325,364,100,100,1,4,2,2,9,93,1,0.83,2,0,1,0,1,1,1,1,0,0,0,0,1,1,0,3899,41070568,Ward 57,apartment
apartment,Ward 54,NA,859,93,28,7,4,2,3,0,NA,7,NA,2,1,1,1,0,1,1,0,1,0,0,0,0,1,0,6000,41077890,Ward 54,apartment
apartment,Ward 55,360,408,80,71,4,2,1,1,8,94,5,0.66,1.5,0,1,1,0,1,1,1,0,0,1,0,1,1,0,850,41083118,Ward 55,apartment
apartment,Ward 115,335,467,100,96,10,4,1,1,9,98,10,0.8,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,2786,41092063,Ward 115,apartment
apartment,Ward 54,NA,2193,38,89,12,4,2,3,0,NA,11,NA,2,0,1,1,1,1,1,1,1,0,0,0,1,1,1,2800,41095268,Ward 54,apartment
apartment,Ward 84,354,527,83,94,2,4,1,1,5,100,3,0.42,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,600,41095956,Ward 84,apartment
apartment,Ward 84,345,527,83,94,2,4,1,4,8,100,3,0.69,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,600,41099349,Ward 84,apartment
apartment,Ward 23,347,363,100,100,0,4,2,3,6,80,1,0.52,2,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1768,41099908,Ward 23,apartment
apartment,Ward 23,290,2269,100,92,1,2,NA,1,3,100,1,0.31,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,750,41114573,Ward 23,apartment
apartment,Ward 107,NA,3039,93,60,9,4,2,3,0,NA,9,NA,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1800,41119445,Ward 107,apartment
apartment,Ward 112,291,812,100,88,1,4,1,2,1,100,1,0.1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,800,41120413,Ward 112,apartment
apartment,Ward 54,295,980,98,97,89,4,2,3,2,80,78,0.2,2,0,1,1,1,1,0,0,0,0,0,0,0,1,0,2196,41127747,Ward 54,apartment
apartment,Ward 70,358,363,80,96,0,4,1,3,11,98,2,0.92,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,3900,41128677,Ward 70,apartment
apartment,Ward 54,313,3300,100,100,1,2,1,1,19,98,1,1.82,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,615,41138594,Ward 54,apartment
apartment,Ward 1,348,625,100,75,0,4,1,2,2,100,1,0.17,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,750,41139029,Ward 1,apartment
